count,start_year,start_month,start_day,start_hour,end_year,end_month,end_day,end_hour
288, 1993, 12,05,00, 1993, 12,11,00
289, 1993, 12,10,00, 1993, 12,16,00
290, 1993, 12,15,00, 1993, 12,21,00
291, 1993, 12,20,00, 1993, 12,26,00
292, 1993, 12,25,00, 1993, 12,31,00
293, 1993, 12,30,00, 1994, 01,05,00
294, 1994, 01,04,00, 1994, 01,10,00
295, 1994, 01,09,00, 1994, 01,15,00
296, 1994, 01,14,00, 1994, 01,20,00
297, 1994, 01,19,00, 1994, 01,25,00
298, 1994, 01,24,00, 1994, 01,30,00
299, 1994, 01,29,00, 1994, 02,04,00
300, 1994, 02,03,00, 1994, 02,09,00
301, 1994, 02,08,00, 1994, 02,14,00
302, 1994, 02,13,00, 1994, 02,19,00
303, 1994, 02,18,00, 1994, 02,24,00
304, 1994, 02,23,00, 1994, 03,01,00
305, 1994, 02,28,00, 1994, 03,06,00
306, 1994, 03,05,00, 1994, 03,11,00
307, 1994, 03,10,00, 1994, 03,16,00
308, 1994, 03,15,00, 1994, 03,21,00
309, 1994, 03,20,00, 1994, 03,26,00
310, 1994, 03,25,00, 1994, 03,31,00
311, 1994, 03,30,00, 1994, 04,05,00
312, 1994, 04,04,00, 1994, 04,10,00
313, 1994, 04,09,00, 1994, 04,15,00
314, 1994, 04,14,00, 1994, 04,20,00
315, 1994, 04,19,00, 1994, 04,25,00
316, 1994, 04,24,00, 1994, 04,30,00
317, 1994, 04,29,00, 1994, 05,05,00
318, 1994, 05,04,00, 1994, 05,10,00
319, 1994, 05,09,00, 1994, 05,15,00
320, 1994, 05,14,00, 1994, 05,20,00
321, 1994, 05,19,00, 1994, 05,25,00
322, 1994, 05,24,00, 1994, 05,30,00
323, 1994, 05,29,00, 1994, 06,04,00
324, 1994, 06,03,00, 1994, 06,09,00
325, 1994, 06,08,00, 1994, 06,14,00
326, 1994, 06,13,00, 1994, 06,19,00
327, 1994, 06,18,00, 1994, 06,24,00
328, 1994, 06,23,00, 1994, 06,29,00
329, 1994, 06,28,00, 1994, 07,04,00
330, 1994, 07,03,00, 1994, 07,09,00
331, 1994, 07,08,00, 1994, 07,14,00
